TC;fγf;fγi;fα'i;fα'fr;Cγ;Cα'
80;0.04663916664248142;0.04663916664248142;0.9533608333575185;0;5.647034788611352;0.031015093048979946
80.5;0.046858249374717005;0.046858249374717005;0.953141750625283;0;5.627182861386051;0.030616231219821533
81;0.04707827268199968;0.04707827268199968;0.9529217273180003;0;5.607292869791544;0.030221021117472883
81.5;0.04729924240009859;0.04729924240009859;0.9527007575999014;0;5.587366029002689;0.029829470271241724
82;0.04752116444219448;0.04752116444219448;0.9524788355578055;0;5.567403564659211;0.02944158524937855
82.5;0.04774404479898095;0.04774404479898095;0.952255955201019;0;5.547406712352998;0.02905737166016638
83;0.0479678895387304;0.0479678895387304;0.9520321104612696;0;5.527376717106104;0.028676834153815795
83.5;0.048192704807326736;0.048192704807326736;0.9518072951926733;0;5.5073148328409545;0.028299976425121498
84;0.04841849682826265;0.04841849682826265;0.9515815031717374;0;5.487222321842127;0.027926801216931665
84.5;0.048645271902603655;0.048645271902603655;0.9513547280973963;0;5.467100454211379;0.02755731032437865
85;0.0488730364089186;0.0488730364089186;0.9511269635910814;0;5.446950507316107;0.02719150459988225
85.5;0.049101796803177236;0.049101796803177236;0.9508982031968227;0;5.426773765232051;0.026829383958911743
86;0.049331559618615295;0.049331559618615295;0.9506684403813848;0;5.406571518180875;0.026470947386497575
86.5;0.049562331465567926;0.049562331465567926;0.9504376685344321;0;5.386345061963341;0.02611619294447831
87;0.049794119031271705;0.049794119031271705;0.9502058809687283;0;5.366095697388769;0.025765117779471887
87.5;0.05002692907963637;0.05002692907963637;0.9499730709203636;0;5.345824729701483;0.025417718131554978
88;0.050260768450986745;0.050260768450986745;0.9497392315490133;0;5.325533468004958;0.02507398934363563
88.5;0.050495644061775834;0.050495644061775834;0.9495043559382241;0;5.305223224684372;0.02473392587150051
89;0.050731562904269785;0.050731562904269785;0.9492684370957302;0;5.284895314828269;0.02439752129452139
89.5;0.050968532046205745;0.050968532046205745;0.9490314679537942;0;5.2645510556500446;0.024064768326999726
90;0.051206558630423595;0.051206558630423595;0.9487934413695764;0;5.24419176590997;0.023735658830129406
90.5;0.05144564987447227;0.05144564987447227;0.9485543501255277;0;5.2238187653384225;0.023410183824557885
91;0.05168581307019207;0.05168581307019207;0.948314186929808;0;5.203433374061055;0.02308833350352241
91.5;0.051927055583273825;0.051927055583273825;0.9480729444167262;0;5.183036912026545;0.022770097246539764
92;0.052169384852795826;0.052169384852795826;0.9478306151472041;0;5.1626306984376455;0.022455463633624963
92.5;0.05241280839074013;0.05241280839074013;0.9475871916092599;0;5.142216051186148;0.02214442046001611
93;0.05265733378148882;0.05265733378148882;0.9473426662185112;0;5.121794286292473;0.021836954751379242
93.5;0.052902968681301815;0.052902968681301815;0.9470970313186982;0;5.101366717350437;0.02153305277946915
94;0.053149720817777184;0.053149720817777184;0.9468502791822229;0;5.080934654977916;0.021232700078219924
94.5;0.053397597989295234;0.053397597989295234;0.9466024020107048;0;5.060499406273925;0.02093588146023869
95;0.05364660806444769;0.05364660806444769;0.9463533919355523;0;5.040062274282751;0.020642581033676336
95.5;0.053896758981452964;0.053896758981452964;0.946103241018547;0;5.019624557465676;0.02035278221944949
96;0.05414805874755897;0.05414805874755897;0.945851941252441;0;4.999187549180862;0.020066467768784492
96.5;0.054400515438434625;0.054400515438434625;0.9455994845615654;0;4.978752537171895;0.01978361978105906
97;0.054654137197551286;0.054654137197551286;0.9453458628024487;0;4.958320803065512;0.019504219721911943
97.5;0.05490893223555534;0.05490893223555534;0.9450910677644446;0;4.937893621878983;0.019228248441595566
98;0.05516490882963315;0.05516490882963315;0.9448350911703669;0;4.917472261537601;0.0189556861935434
98.5;0.055422075322869836;0.055422075322869836;0.9445779246771302;0;4.897057982402718;0.01868651265312487
99;0.055680440123602626;0.055680440123602626;0.9443195598763974;0;4.876652036810731;0.018420706936562396
99.5;0.05594001170477044;0.05594001170477044;0.9440599882952295;0;4.856255668623393;0.018158247619983244
100;0.05620079860326064;0.05620079860326064;0.9437992013967393;0;4.835870112789816;0.01789911275857954
100.5;0.05646280941925419;0.05646280941925419;0.9435371905807458;0;4.815496594920486;0.017643279905851978
101;0.05672605281557044;0.05672605281557044;0.9432739471844296;0;4.795136330873606;0.017390726132910206
101.5;0.05699053751701233;0.05699053751701233;0.9430094624829877;0;4.77479052635402;0.01714142804780739
102;0.0572562723097137;0.0572562723097137;0.9427437276902862;0;4.754460376525003;0.01689536181488098
102.5;0.0575232660404892;0.0575232660404892;0.9424767339595108;0;4.734147065633098;0.016652503174080003
103;0.057791527616188214;0.057791527616188214;0.9422084723838118;0;4.713851766646247;0.016412827460251907
103.5;0.05806106600305359;0.05806106600305359;0.9419389339969464;0;4.6935756409053475;0.016176309622369378
104;0.05833189022608635;0.05833189022608635;0.9416681097739137;0;4.673319837789398;0.015942924242672626
104.5;0.05860400936841729;0.05860400936841729;0.9413959906315827;0;4.653085494394334;0.015712645555708303
105;0.058877432570686054;0.058877432570686054;0.941122567429314;0;4.632873735225722;0.0154854474672421
105.5;0.059152169030429205;0.059152169030429205;0.9408478309695708;0;4.612685671905245;0.015261303573028248
106;0.0594282280014776;0.0594282280014776;0.9405717719985224;0;4.592522402891175;0.01504018717741342
106.5;0.05970561879336405;0.05970561879336405;0.940294381206636;0;4.5723850132127515;0.014822071311760054
107;0.059984350770742066;0.059984350770742066;0.940015649229258;0;4.552274574218516;0.014606928752670608
107.5;0.060264433352816456;0.060264433352816456;0.9397355666471835;0;4.532192143338562;0.014394732039994603
108;0.06054587601278637;0.06054587601278637;0.9394541239872136;0;4.512138763860656;0.01418545349460618
108.5;0.06082868827730153;0.06082868827730153;0.9391713117226985;0;4.492115464720183;0.01397906523593383
109;0.06111287972593213;0.06111287972593213;0.9388871202740678;0;4.472123260303804;0.013775539199231213
109.5;0.06139845999065323;0.06139845999065323;0.9386015400093468;0;4.452163150266748;0.013574847152573495
110;0.06168543875534395;0.06168543875534395;0.9383145612446561;0;4.432236119363588;0.01337696071356909
110.5;0.06197382575530207;0.06197382575530207;0.9380261742446979;0;4.412343137292391;0.013181851365773599
111;0.06226363077677455;0.06226363077677455;0.9377363692232255;0;4.392485158552093;0.012989490474795204
111.5;0.0625548636565039;0.0625548636565039;0.9374451363434961;0;4.372663122312742;0.012799849304092042
112;0.06284753428129224;0.06284753428129224;0.9371524657187078;0;4.352877952298924;0.012612899030422224
112.5;0.0631416525875811;0.0631416525875811;0.9368583474124189;0;4.333130556685473;0.012428610758982819
113;0.06343722856104948;0.06343722856104948;0.9365627714389505;0;4.313421828005799;0.012246955538194318
113.5;0.06373427223622903;0.06373427223622903;0.9362657277637709;0;4.293752643072354;0.012067904374140402
114;0.06403279369613729;0.06403279369613729;0.9359672063038627;0;4.274123862909082;0.01189142824465394
114.5;0.06433280307192894;0.06433280307192894;0.9356671969280711;0;4.254536332695566;0.011717498113044084
115;0.06463431054256528;0.06463431054256528;0.9353656894574347;0;4.234990881722632;0.011546084941460215
