# C:\WinTA100\DIL805.PRO\Data\Quenching\1_fofo_Q&P_PT170-QT300-15min_heating50oCs-1_11.13.15.PAR
#                Time - Temperature  /  Change in Length  /  Nominal Temperature 
#                  s                °C                    µm                    °C
    96         4.81556988       48.16621780        1.44095039       48.14372253
    97         4.86570692       48.64506912        1.46479034       48.64503860
    98         4.91584778       49.27150345        1.53365898       49.14655304
    99         4.96603298       49.83450317        1.51246834       49.64840698
   100         5.01618004       50.10732651        1.49922562       50.14990997
   101         5.06635189       50.76251602        1.56014824       50.65159607
   102         5.11652613       51.20368195        1.57339096       51.15331268
   103         5.16667604       51.70003128        1.57074356       51.65487671
   104         5.21682215       51.85741043        1.67669487       52.15639114
   105         5.26694393       52.65938568        1.79854012       52.65746307
   106         5.31706381       53.14177704        1.87005806       53.15876007
   107         5.36729002       53.81982040        2.08461189       53.66104126
   108         5.41741085       53.99011612        2.10844994       54.16227722
   109         5.46757793       54.50603104        2.19056320       54.66375732
   110         5.51777887       55.34402084        2.24618912       55.16582870
   111         5.56791592       55.63287735        2.28327179       55.66730118
   112         5.61810207       56.14497757        2.25943375       56.16905212
   113         5.66829491       56.50040817        2.20910454       56.67098236
   114         5.71844578       57.27006149        2.30711174       57.17250061
   115         5.76855278       57.85877991        2.29651642       57.67370224
   116         5.81868315       58.11242676        2.35214043       58.17488098
   117         5.86883593       58.73904037        2.44484901       58.67636108
   118         5.91897011       59.23768234        2.59583092       59.17784119
   119         5.96913195       59.44058990        2.70708084       59.67930603
   120         6.01930380       60.29027557        2.82892609       60.18102264
   121         6.06944704       60.84185791        2.89779472       60.68258667
   122         6.11960316       61.07297516        2.96401596       61.18402863
   123         6.16974497       61.75346756        2.96931267       61.68552780
   124         6.21993494       62.21353912        2.99315262       62.18729019
   125         6.27009201       62.68658066        3.03023529       62.68902588
   126         6.32028389       63.04627609        3.03023529       63.19074249
   127         6.37041903       63.64346313        3.04612923       63.69227982
   128         6.42056417       64.04329681        3.01963997       64.19380188
   129         6.47070122       64.81453705        3.15208054       64.69514465
   130         6.52089882       65.12645721        3.27922440       65.19708252
   131         6.57106590       65.64289093        3.47523499       65.69853973
   132         6.62120104       66.22368622        3.51496696       66.20005035
   133         6.67130089       66.68940735        3.61562157       66.70111847
   134         6.72145081       67.22957611        3.72157478       67.20256805
   135         6.77161407       67.71420288        3.72157478       67.70422363
   136         6.82181597       68.14385986        3.82222939       68.20623779
   137         6.87195301       68.73260498        3.78514671       68.70758057
