tth,Iobs,Icalc,Ibkg, refpos, ref-phase, ref-hkl
24.4298439,112,117.694908,117.612679,47.3996086,chi,132
24.4498539,112,117.819786,117.711746,47.4825287,chi,223
24.4698601,112,117.966835,117.810913,47.760685,chi, {4 2 -3}
24.5498981,113,125.566833,118.207001,47.9574699,chi,530
24.6099243,113,119.249763,118.504166,48.356678,chi, {3 3 -2}
24.6299362,113,119.481346,118.603111,48.3981171,chi, {2 0 -4}
24.6699505,114,120.009338,118.80127,48.628418,chi, {5 3 -1}
24.6899605,114,119.164124,118.900223,48.688942,chi,4
24.7700005,115,119.335335,119.296364,48.9883385,chi,712
24.8100147,115,119.512909,119.494514,49.6180954,chi, {9 1 -1}
24.8300247,115,119.645126,119.593483,49.7125397,chi,910
24.8700409,115,119.888336,119.791573,49.8590279,chi,513
24.930069,116,120.450302,120.08857,50.1603889,chi, {1 1 -4}
24.9700851,116,124.281174,120.28656,50.2770157,chi,820
25.010107,117,123.528,120.484688,50.3695564,chi, {8 2 -1}
25.0301132,117,135.808563,120.583641,50.3944817,chi, {7 1 -3}
25.0501213,117,143.503799,120.682549,50.396431,chi,622
25.0901394,118,121.59304,120.880547,50.510067,chi,531
25.1101494,118,121.348373,120.979454,50.5527458,chi, {4 0 -4}
25.1301594,117,121.311813,121.078499,50.617466,chi,332
21.7286282,94,104.376717,104.328545,15.8018131,cementite,11
21.7486382,94,104.47377,104.425835,17.5660114,cementite,101
21.7686481,94,104.570892,104.523125,17.63307,cementite,20
21.8486824,95,104.95945,104.91246,19.6739254,cementite,111
21.9487305,95,105.445557,105.399605,23.4139519,cementite,200
22.0487728,96,105.932343,105.887367,24.9894161,cementite,121
22.0887947,97,106.127243,106.082657,25.0536213,cementite,210
22.1688251,97,106.517288,106.47348,26.3858471,cementite,2
22.1888351,97,106.61483,106.57119,26.9233227,cementite,201
22.3489056,99,107.47802,107.353928,28.3736458,cementite,211
22.4089355,99,110.318794,107.64769,28.9270782,cementite,102
22.4889698,100,108.19268,108.039825,29.4629574,cementite,220
22.5289898,99,108.319572,108.236046,29.7450886,cementite,31
22.609024,100,108.668106,108.628609,30.2892704,cementite,112
22.7090721,101,109.158081,109.119583,31.9145412,cementite,22
22.7290764,101,109.256165,109.217834,32.0423927,cementite,131
22.7690964,101,109.452438,109.414474,32.3677635,cementite,221
22.8691406,102,109.943062,109.906113,34.0804024,cementite,122
22.9091606,102,110.139618,110.103065,35.5627098,cementite,202
22.9691887,103,110.434311,110.3983,35.7019234,cementite,40
22.9891949,103,110.532562,110.49678,35.7137108,cementite,230
23.069231,103,110.925812,110.890778,36.7040443,cementite,212
23.1492672,104,111.31916,111.284935,37.9371452,cementite,301
23.2293072,104,111.712807,111.679321,38.1960793,cementite,231
23.2693214,105,111.915016,111.87664,39.0187798,cementite,311
23.3493595,105,112.331017,112.271469,39.6890144,cementite,132
23.4293938,105,113.11898,112.666245,39.9597816,cementite,222
23.4494019,106,112.867332,112.765022,40.0544014,cementite,141
23.529438,106,113.198479,113.160217,41.074791,cementite,13
23.6294823,106,113.71048,113.654182,41.8397865,cementite,103
23.6695023,107,113.928963,113.851868,42.1234322,cementite,321
23.7895565,108,131.826843,114.445221,42.8390198,cementite,113
23.8095646,108,115.857964,114.544151,43.1369247,cementite,240
24.0496731,109,115.75708,115.731529,44.7201691,cementite,302
24.0696793,109,115.855789,115.830406,44.9368668,cementite,42
24.0896893,110,115.954666,115.929489,44.9466057,cementite,232
24.1697273,110,116.349892,116.325447,45.2772217,cementite,241
24.1897354,110,116.448677,116.424446,45.6687241,cementite,312
24.2097435,110,116.547417,116.523346,45.7309189,cementite,123
24.3097897,111,117.041679,117.0186,46.5832405,cementite,142
24.3498077,111,117.239326,117.216583,46.9013672,cementite,203
24.3698196,111,117.354721,117.315628,46.9237022,cementite,331
24.4098339,112,117.580437,117.513687,47.1324959,cementite,51
24.4898701,112,118.182823,117.909904,47.8162537,cementite,213
24.509882,112,118.61927,118.008972,47.8841705,cementite,400
24.6499405,114,126.4534,118.702103,48.4274559,cementite,322
24.7099686,114,119.12822,118.999321,48.7089348,cementite,33
24.7299786,114,119.184151,119.09832,48.7214928,cementite,151
24.7499886,114,119.245613,119.197456,48.7850647,cementite,410
24.8900528,116,120.048416,119.890602,49.8652878,cementite,401
24.950079,116,120.912872,120.187492,50.2604332,cementite,133
25.0701313,117,123.878479,120.781471,50.4855804,cementite,223
25.1501713,118,121.31311,121.177505,50.7399673,cementite,411
