"index" "time.s" "TC1" "dl.um" "T.n" "dl.pct"
4616 0 300.15905762 16.34049416 300 0
4617 0.900756829999864 300.05609131 16.43585396 300 0.000953598000000007
4618 1.80004882000003 300.07635498 16.48618126 300 0.001456871
4619 2.70068358999993 299.84771729 16.57094383 300 0.00230449670000002
4620 3.60058592999985 299.98962402 16.55240059 300 0.00211906430000003
4621 4.49987792999991 300.05935669 16.61861992 300 0.00278125760000002
4622 5.40075682999986 300.09014893 16.73251915 300 0.00392024990000003
4623 6.30029295999998 300.01312256 16.78019905 300 0.00439704890000002
4624 7.1997070299999 299.98962402 16.80403709 300 0.00463542930000003
4625 8.10021972000004 300.12744141 16.88085365 300 0.0054035949
4626 9.00085448999994 299.93695068 16.89674568 300 0.0055625152
4627 9.90039062000005 300.10720825 16.98680687 300 0.0064631271
4628 10.7999267499999 299.93447876 17.01594353 300 0.00675449370000003
4629 11.7006835899999 299.95394897 17.08216286 300 0.00741668700000002
4630 12.60009765 300.04556274 17.18811607 300 0.00847621910000001
4631 13.4997558499999 300.15258789 17.24373817 300 0.00903244010000002
4632 14.4005126899999 300.0958252 17.23314476 300 0.008926506
4633 15.2999267499999 299.97909546 17.32585335 300 0.00985359190000001
4634 16.20043945 299.84857178 17.37088203 300 0.0103038787
4635 17.0999755799999 300.08285522 17.46094322 300 0.0112044906
4636 18.0007324200001 300.07394409 17.47683525 300 0.0113634109
4637 18.9001464799999 299.78045654 17.56954384 300 0.0122904968
4638 19.79968261 300.01394653 17.59338188 300 0.0125288772
4639 20.7003173799999 300.02450562 17.65430641 300 0.0131381225
4640 21.60009765 300.04476929 17.71522713 300 0.0137473297
4641 22.5007324200001 300.0050354 17.74171638 300 0.0140122222
4642 23.40026855 299.90127563 17.82118034 300 0.0148068618
4643 24.2999267499999 300.0098877 17.8979969 300 0.0155750274
4644 25.2003173799999 299.90771484 17.93772697 300 0.0159723281
4645 26.0997314399999 299.93612671 18.03838158 300 0.0169788742
4646 27.00036621 300.00177002 18.07281685 300 0.0173232269
4647 27.8997802700001 300.09017944 18.12579155 300 0.0178529739
4648 28.80029296 300.13720703 18.25558281 300 0.0191508865
4649 29.6999511700001 299.94744873 18.25293541 300 0.0191244125
4650 30.6005859299999 300.04800415 18.35094261 300 0.0201044845
4651 31.50036621 300.03018188 18.37213326 300 0.020316391
4652 32.4008789 299.95962524 18.44099998 300 0.0210050582
4653 33.3004150300001 299.89154053 18.46219063 300 0.0212169647
4654 34.1998291 299.90856934 18.4939785 300 0.0215348434
4655 35.1007079999999 299.97506714 18.61847115 300 0.0227797699
4656 36 299.89556885 18.68998909 300 0.0234949493
4657 36.9007568299999 300.0690918 18.6979351 300 0.0235744094
4658 37.8001708899999 299.96044922 18.76415443 300 0.0242366027
4659 38.6998291 300.08935547 18.89129829 300 0.0255080413
4660 39.6007079999999 300.00421143 18.92838097 300 0.0258788681
4661 40.5001220699999 299.96856689 18.94692421 300 0.0260643005
4662 41.4007568299999 300.05856323 19.01049614 300 0.0267000198
4663 42.3004150300001 300.00421143 19.07406425 300 0.0273357009
4664 43.1998291 300.04721069 19.10320091 300 0.0276270675
4665 44.10046386 300.09906006 19.20120811 300 0.0286071395
4666 45 300.04724121 19.23034477 300 0.0288985061
4667 45.9008789 300.01721191 19.33365059 300 0.0299315643
4668 46.8001708899999 300.08209229 19.41311455 300 0.0307262039
4669 47.7006835899999 300.0423584 19.40781593 300 0.0306732177
4670 48.59985351 299.91262817 19.48463249 300 0.0314413833
4671 49.50061035 299.990448 19.54290581 300 0.0320241165
4672 50.4003906200001 299.94744873 19.59588051 300 0.0325538635
4673 51.3001708899999 300.04150391 19.67269707 300 0.0333220291
4674 52.20080566 300.0617981 19.75745964 300 0.0341696548
4675 53.1003417899999 299.90289307 19.8422184 300 0.0350172424
4676 54.0008544899999 300.027771 19.87400627 300 0.0353351211
4677 54.90026855 300.1210022 19.9402256 300 0.0359973144
4678 55.7998046799999 299.98153687 19.92963219 300 0.0358913803
4679 56.6998291 300.00906372 19.99849892 300 0.0365800476
4680 57.6005859299999 300.03341675 20.0382328 300 0.0369773864
4681 58.4998779299999 300.13311768 20.14948082 300 0.0380898666
4682 59.40063476 299.95401001 20.17597008 300 0.0383547592
4683 60.3001708899999 300.00991821 20.27662468 300 0.0393613052
4684 61.1997070299999 299.99856567 20.32165337 300 0.0398115921
4685 62.1005859299999 299.94342041 20.3825779 300 0.0404208374
4686 62.9997558499999 299.85018921 20.47528648 300 0.0413479232
4687 63.9005126899999 299.97833252 20.53885841 300 0.0419836425
4688 64.7998046799999 300.11291504 20.60242653 300 0.0426193237
4689 65.7003173799999 299.96856689 20.73221779 300 0.0439172363
4690 66.60083007 300.05209351 20.72692299 300 0.0438642883
4691 67.50036621 299.93615723 20.734869 300 0.0439437484
4692 68.4001464799999 300.01477051 20.83817101 300 0.0449767685
4693 69.3004150300001 299.79748535 20.90704155 300 0.0456654739
4694 70.2000732399999 299.90774536 20.97326088 300 0.0463276672
4695 71.10083007 299.92886353 21.01828957 300 0.0467779541
4696 72.0004882799999 300.07965088 21.10570335 300 0.0476520919
4697 72.9008789 300.07070923 21.13748741 300 0.0479699325
4698 73.8006591799999 300.09750366 21.19576073 300 0.0485526657
4699 74.6998291 299.97991943 21.24608803 300 0.0490559387
4700 75.6005859299999 300.04882813 21.34409523 300 0.0500360107
4701 76.5001220699999 300.02127075 21.40766716 300 0.05067173
4702 77.40063476 299.9637146 21.46328926 300 0.051227951
4703 78.30004882 300.0375061 21.48977852 300 0.0514928436
