Depth	Intensity	IntensityABS
90.240384	1.452423	0.343467
90.666046	1.864158	0.437858
91.091708	1.672464	0.390207
91.517371	1.726441	0.399869
91.943033	1.853162	0.426812
92.368695	1.443877	0.330299
92.794357	1.282745	0.291495
93.220019	1.502792	0.338945
93.645682	1.774563	0.397522
94.071344	1.644013	0.365915
94.497006	1.453842	0.321396
94.922668	1.604365	0.352445
95.348330	1.201307	0.261684
95.773993	1.303368	0.282127
96.199655	1.503878	0.323600
96.625317	1.824644	0.389675
97.050979	1.221278	0.259083
97.476641	1.263201	0.265993
97.902303	1.413658	0.295744
98.327966	1.244631	0.258590
98.753628	1.265249	0.261190
99.179290	1.159434	0.237750
99.604952	1.427580	0.290748
100.030614	1.352017	0.273374
100.456277	1.163150	0.233491
100.881939	1.210924	0.241527
101.307601	1.182704	0.234333
101.733263	1.280671	0.252287
102.158925	1.173348	0.229441
102.584588	1.177789	0.228866
103.010250	1.339935	0.258808
103.435912	1.294292	0.248384
103.861574	0.980959	0.186950
104.287236	1.049346	0.198378
104.712898	0.873801	0.164222
105.138561	0.931271	0.173923
105.564223	0.785096	0.145628
105.989885	0.768932	0.141861
106.415547	0.672478	0.123165
106.841209	0.691934	0.125628
107.266872	0.731811	0.131831
107.692534	0.751604	0.134426
108.118196	0.820353	0.145676
108.543858	0.713908	0.125918
108.969520	0.667740	0.116968
109.395183	0.659024	0.114844
109.820845	0.698014	0.120875
110.246507	0.790850	0.135966
110.672169	0.696883	0.118935
111.097831	0.833728	0.141306
111.523493	1.120913	0.188859
111.949156	0.836171	0.139870
112.374818	1.096381	0.182384
112.800480	1.138330	0.188015
113.226142	0.756932	0.124201
113.651804	0.640411	0.104262
114.077467	0.660884	0.106986
114.503129	0.620393	0.099700
114.928791	0.584379	0.093247
115.354453	0.541603	0.085826
115.780115	0.508708	0.080206
116.205778	0.541543	0.084730
116.631440	0.553803	0.086073
117.057102	0.564843	0.087113
117.482764	0.553359	0.084848
117.908426	0.578269	0.088000
118.334089	0.510650	0.077244
118.759751	0.555912	0.083366
119.185413	0.636443	0.094808
119.611075	0.644123	0.095378
120.036737	0.637110	0.093727
120.462399	0.679159	0.099225
120.888062	0.893741	0.129540
121.313724	0.916497	0.131975
121.739386	0.787492	0.112748
122.165048	0.650437	0.092469
122.590710	0.661037	0.093281
123.016373	0.566452	0.079430
123.442035	0.574743	0.080247
123.867697	0.797279	0.110390
124.293359	0.423716	0.058212
124.719021	0.396682	0.054078
125.144684	0.469901	0.063636
125.570346	0.367075	0.049422
125.996008	0.315792	0.042223
126.421670	0.300573	0.039938
126.847332	0.295844	0.038964
127.272994	0.307863	0.040145
127.698657	0.323728	0.042020
128.124319	0.348901	0.045080
128.549981	0.603843	0.077569
128.975643	0.501576	0.064000
129.401305	0.508811	0.064392
129.826968	0.774951	0.097390
130.252630	0.533766	0.066655
130.678292	0.478942	0.059531
131.103954	0.511936	0.063207
131.529616	0.505349	0.061999
131.955279	0.357430	0.043612
132.380941	0.451140	0.054586
132.806603	0.520241	0.062486
133.232265	0.553926	0.066020
133.657927	0.497425	0.058930
134.083590	0.482014	0.056718
134.509252	0.477757	0.055709
134.934914	0.478339	0.055364
135.360576	0.464203	0.053537
135.786238	0.363378	0.041638
136.211900	0.283971	0.032254
136.637563	0.313542	0.035381
